,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
6723,37.75203561520654,X,X,3/14/2025 11:07
6724,33.74203459581699,X,X,3/14/2025 11:07
6725,32.67280954933559,X,X,3/14/2025 11:07
6726,31.256152135151808,X,X,3/14/2025 11:07
6727,39.36118848864254,X,X,3/14/2025 11:07
6728,30.569041381029713,X,X,3/14/2025 11:07
6729,21.855130825979387,X,Cat III,3/14/2025 11:07
6745,33.77903550312277,X,X,3/14/2025 11:07
6746,35.297855591493025,X,X,3/14/2025 11:07
6747,34.24807678484627,X,X,3/14/2025 11:07
6748,37.30848620604991,X,X,3/14/2025 11:07
6749,42.630194292300274,X,X,3/14/2025 11:07
6750,30.086816771871717,X,X,3/14/2025 11:07
6751,24.61462910222627,X,Cat III,3/14/2025 11:07
6752,29.68128320753947,X,Cat III,3/14/2025 11:07
6765,27.820768669696857,X,Cat III,3/14/2025 11:07
6766,21.311313913992677,X,Cat III,3/14/2025 11:07
6767,23.247561156071676,X,Cat III,3/14/2025 11:07
6771,39.02832181795095,X,X,3/14/2025 11:07
6772,42.014020502285604,X,X,3/14/2025 11:07
6773,33.10146579020999,X,X,3/14/2025 11:07
6774,28.296520879661028,X,Cat III,3/14/2025 11:07
6775,31.062173586097632,X,X,3/14/2025 11:07
6777,21.818801544430734,X,Cat III,3/14/2025 11:07
6789,24.999413385526957,X,Cat III,3/14/2025 11:08
6790,32.08958537526069,X,X,3/14/2025 11:08
6791,25.890301538314773,X,Cat III,3/14/2025 11:08
6794,31.641184896752936,X,X,3/14/2025 11:08
6795,31.11007900331899,X,X,3/14/2025 11:08
6796,28.76271556369739,X,Cat III,3/14/2025 11:08
6797,30.991475907805782,X,X,3/14/2025 11:08
6799,26.399134907562363,X,Cat III,3/14/2025 11:08
6810,32.338212186772886,X,X,3/14/2025 11:08
6811,25.772825048667478,X,Cat III,3/14/2025 11:08
6812,31.23018632374601,X,X,3/14/2025 11:08
6813,38.81592705838635,X,X,3/14/2025 11:08
6814,38.21502131544095,X,X,3/14/2025 11:08
6815,24.315238161254342,X,Cat III,3/14/2025 11:08
6817,29.907576660839375,X,Cat III,3/14/2025 11:08
6818,23.698629281552172,X,Cat III,3/14/2025 11:08
6819,34.04097252623896,X,X,3/14/2025 11:08
6820,27.654371864931782,X,Cat III,3/14/2025 11:08
6821,33.21974090711418,X,X,3/14/2025 11:08
6822,29.7702293898864,X,Cat III,3/14/2025 11:08
6834,25.882875837034263,X,Cat III,3/14/2025 11:08
6837,33.68266541485059,X,X,3/14/2025 11:08
6838,29.872593190243283,X,Cat III,3/14/2025 11:08
6839,25.211716586982735,X,Cat III,3/14/2025 11:08
6840,32.98004815289925,X,X,3/14/2025 11:09
6841,22.22454591105912,X,Cat III,3/14/2025 11:09
6842,30.95415293515773,X,X,3/14/2025 11:09
6843,25.069649157717333,X,Cat III,3/14/2025 11:09
6844,29.647449490849088,X,Cat III,3/14/2025 11:09
6845,22.6658478874689,X,Cat III,3/14/2025 11:09
6846,22.392792433809564,X,Cat III,3/14/2025 11:09
6849,22.363612019468093,X,Cat III,3/14/2025 11:09
6853,23.131625593595313,X,Cat III,3/14/2025 11:09
6854,39.08856638822687,X,X,3/14/2025 11:09
6855,29.504144790001526,X,Cat III,3/14/2025 11:09
6856,22.956960285896322,X,Cat III,3/14/2025 11:09
6859,37.561622688804604,X,X,3/14/2025 11:09
6860,33.51839949873051,X,X,3/14/2025 11:09
6861,36.21048423666349,X,X,3/14/2025 11:09
6862,24.551130299776975,X,Cat III,3/14/2025 11:09
